data,hora,taxa
2024/02/14,16:18:45,11.571422342862611
2024/02/14,16:18:50,11.615518515156902
2024/02/14,16:18:53,11.348363815651698
2024/02/14,16:18:54,11.101633849812277
2024/02/14,16:18:59,11.085501002204941
2024/02/14,16:19:01,11.206332741218526
2024/02/14,16:19:03,10.824857831762879
2024/02/14,16:19:05,11.151309158857897
2024/02/14,16:19:06,11.318848168076093
2024/02/14,16:19:08,11.52182789131438
2024/02/14,16:19:11,10.928665030004831
2024/02/14,16:19:13,11.076892888205268
2024/02/14,16:19:15,10.940534912543356
2024/02/14,16:19:17,11.338489960249623
2024/02/14,16:19:20,11.372656925777477
2024/02/14,16:19:22,11.400023485085034
2024/02/14,16:19:24,11.489824646752501
2024/02/14,16:19:26,10.987074026603462
2024/02/14,16:19:28,11.54028526582176
2024/02/14,16:19:30,10.857856236635545
2024/02/14,16:19:33,11.305703680864985
2024/02/14,16:19:36,11.335125649023492
2024/02/14,16:19:40,10.7687359408278
2024/02/14,16:19:42,11.63028819747413
2024/02/14,16:19:44,10.953776446276645
2024/02/14,16:19:46,11.403782745613539
2024/02/14,16:19:48,10.75085970752585
2024/02/14,16:19:50,10.859759161732176
2024/02/14,16:19:52,11.609527188215903
2024/02/14,16:19:55,11.481784322167039
